type,config,layout,sfbs_w,sfs_w,stretches_w,inroll_w,outroll_w,alternate_w,redirect_w,onehandin_w,onehandout_w,score,sfbs,sfs,stretches,inroll,outroll,alternate,redirect,onehandin,onehandout
reference,default,nrts-oxey,-7,-1,-3,5,4,4,1,1,0,-191315300110,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
reference,default,canary,-7,-1,-3,5,4,4,1,1,0,-205695504867,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
reference,default,colemak-dh,-7,-1,-3,5,4,4,1,1,0,-265575760220,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
reference,default,sturdy,-7,-1,-3,5,4,4,1,1,0,-187952867354,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
reference,default,noctum,-7,-1,-3,5,4,4,1,1,0,-190500016636,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,baseline,nrts-oxey,-7,-1,-3,5,4,4,1,1,0,-191315300110,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,baseline,canary,-7,-1,-3,5,4,4,1,1,0,-205695504867,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,baseline,colemak-dh,-7,-1,-3,5,4,4,1,1,0,-265575760220,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,baseline,sturdy,-7,-1,-3,5,4,4,1,1,0,-187952867354,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,baseline,noctum,-7,-1,-3,5,4,4,1,1,0,-190500016636,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,heavy-sfb,nrts-oxey,-15,-1,-3,5,4,4,1,1,0,-297556566630,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,heavy-sfb,canary,-15,-1,-3,5,4,4,1,1,0,-306688009083,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,heavy-sfb,colemak-dh,-15,-1,-3,5,4,4,1,1,0,-413905399206,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,heavy-sfb,sturdy,-15,-1,-3,5,4,4,1,1,0,-286919196059,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,heavy-sfb,noctum,-15,-1,-3,5,4,4,1,1,0,-285356560869,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,extreme-sfb,nrts-oxey,-25,-1,-3,5,4,4,1,1,0,-430466827990,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,extreme-sfb,canary,-25,-1,-3,5,4,4,1,1,0,-432928639353,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,extreme-sfb,colemak-dh,-25,-1,-3,5,4,4,1,1,0,-599718908750,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,extreme-sfb,sturdy,-25,-1,-3,5,4,4,1,1,0,-410803279427,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,extreme-sfb,noctum,-25,-1,-3,5,4,4,1,1,0,-403872925037,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,heavy-sfs,nrts-oxey,-7,-5,-3,5,4,4,1,1,0,-526299968298,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,heavy-sfs,canary,-7,-5,-3,5,4,4,1,1,0,-610695140717,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,heavy-sfs,colemak-dh,-7,-5,-3,5,4,4,1,1,0,-704161590901,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,heavy-sfs,sturdy,-7,-5,-3,5,4,4,1,1,0,-526601500690,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,heavy-sfs,noctum,-7,-5,-3,5,4,4,1,1,0,-553139548897,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,low-sfb,nrts-oxey,-2,-1,-3,5,4,4,1,1,0,-124751491220,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,low-sfb,canary,-2,-1,-3,5,4,4,1,1,0,-142332687638,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,low-sfb,colemak-dh,-2,-1,-3,5,4,4,1,1,0,-172669005448,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,low-sfb,sturdy,-2,-1,-3,5,4,4,1,1,0,-126010825670,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,low-sfb,noctum,-2,-1,-3,5,4,4,1,1,0,-131241834552,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,heavy-inroll,nrts-oxey,-7,-1,-3,15,4,4,1,1,0,-189647712740,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,heavy-inroll,canary,-7,-1,-3,15,4,4,1,1,0,-205310403723,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,heavy-inroll,colemak-dh,-7,-1,-3,15,4,4,1,1,0,-264451066326,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,heavy-inroll,sturdy,-7,-1,-3,15,4,4,1,1,0,-186832945661,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,heavy-inroll,noctum,-7,-1,-3,15,4,4,1,1,0,-189804377494,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,heavy-alt,nrts-oxey,-7,-1,-3,5,4,15,1,1,0,-190482754400,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,heavy-alt,canary,-7,-1,-3,5,4,15,1,1,0,-204125792834,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,heavy-alt,colemak-dh,-7,-1,-3,5,4,15,1,1,0,-265476874408,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,heavy-alt,sturdy,-7,-1,-3,5,4,15,1,1,0,-187448814914,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,heavy-alt,noctum,-7,-1,-3,5,4,15,1,1,0,-189329777939,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,heavy-redirect,nrts-oxey,-7,-1,-3,5,4,4,-10,1,0,-191226064786,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,heavy-redirect,canary,-7,-1,-3,5,4,4,-10,1,0,-205371576127,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,heavy-redirect,colemak-dh,-7,-1,-3,5,4,4,-10,1,0,-265542303382,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,heavy-redirect,sturdy,-7,-1,-3,5,4,4,-10,1,0,-187837444158,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,heavy-redirect,noctum,-7,-1,-3,5,4,4,-10,1,0,-190530820079,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,balanced-tg,nrts-oxey,-7,-1,-3,8,8,8,-3,2,1,-191235373550,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,balanced-tg,canary,-7,-1,-3,8,8,8,-3,2,1,-205485711979,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,balanced-tg,colemak-dh,-7,-1,-3,8,8,8,-3,2,1,-265543772404,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,balanced-tg,sturdy,-7,-1,-3,8,8,8,-3,2,1,-187958662162,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,balanced-tg,noctum,-7,-1,-3,8,8,8,-3,2,1,-190465085224,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,inroll-focus,nrts-oxey,-5,-1,-2,20,2,2,-2,1,0,-161607106874,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,inroll-focus,canary,-5,-1,-2,20,2,2,-2,1,0,-178300335338,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,inroll-focus,colemak-dh,-5,-1,-2,20,2,2,-2,1,0,-225356232286,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,inroll-focus,sturdy,-5,-1,-2,20,2,2,-2,1,0,-159790748134,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,inroll-focus,noctum,-5,-1,-2,20,2,2,-2,1,0,-163554606063,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,alt-focus,nrts-oxey,-5,-1,-2,2,2,20,-5,1,0,-161191425557,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,alt-focus,canary,-5,-1,-2,2,2,20,-5,1,0,-177734819498,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,alt-focus,colemak-dh,-5,-1,-2,2,2,20,-5,1,0,-225131340817,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,alt-focus,sturdy,-5,-1,-2,2,2,20,-5,1,0,-160541605669,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,alt-focus,noctum,-5,-1,-2,2,2,20,-5,1,0,-163829628117,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,low-pen-high-rew,nrts-oxey,-3,0,-1,10,8,8,0,2,1,-51200929296,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,low-pen-high-rew,canary,-3,0,-1,10,8,8,0,2,1,-49890788986,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,low-pen-high-rew,colemak-dh,-3,0,-1,10,8,8,0,2,1,-76772270695,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,low-pen-high-rew,sturdy,-3,0,-1,10,8,8,0,2,1,-49978472040,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,low-pen-high-rew,noctum,-3,0,-1,10,8,8,0,2,1,-49445022134,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
scored,all-high,nrts-oxey,-15,-5,-8,15,12,12,-8,5,3,-639323979218,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
scored,all-high,canary,-15,-5,-8,15,12,12,-8,5,3,-721375188319,0.570,4.859,2.758,1064.595,1194.571,1563.623,332.377,43.119,44.001
scored,all-high,colemak-dh,-15,-5,-8,15,12,12,-8,5,3,-863148458778,0.839,5.338,2.992,1167.907,1005.022,1430.791,502.818,64.744,47.711
scored,all-high,sturdy,-15,-5,-8,15,12,12,-8,5,3,-634183121594,0.584,3.702,2.483,1032.498,1214.962,1685.541,250.643,56.196,42.363
scored,all-high,noctum,-15,-5,-8,15,12,12,-8,5,3,-654601496196,0.556,3.872,1.930,1182.249,837.158,1931.989,198.234,28.246,67.771
generated,baseline,nrts-oxey,-7,-1,-3,5,4,4,1,1,0,-191315300110,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
generated,heavy-sfb,nrts-oxey,-15,-1,-3,5,4,4,1,1,0,-297556566630,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
generated,heavy-inroll,nrts-oxey,-7,-1,-3,15,4,4,1,1,0,-189647712740,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
generated,heavy-alt,nrts-oxey,-7,-1,-3,5,4,15,1,1,0,-190482754400,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
generated,balanced-tg,nrts-oxey,-7,-1,-3,8,8,8,-3,2,1,-191235373550,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
generated,inroll-focus,nrts-oxey,-5,-1,-2,20,2,2,-2,1,0,-161607106874,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
generated,all-high,nrts-oxey,-15,-5,-8,15,12,12,-8,5,3,-639323979218,0.659,3.996,1.930,933.709,1125.142,1964.210,132.848,21.719,61.601
